Name,Category,Rating,ReviewsCount,Phone,Address,Website,GoogleMapsURL,Description,SourceFile
Pediatric Dental Associates Birmingham,Pediatric dentist,4.9,902,(205) 251-1010,·,"https://www.google.com/maps/dir//Pediatric+Dental+Associates+Birmingham,+2320+7th+Ave+S,+Birmingham,+AL+35233/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x88891bdd523a772d:0x1dd7a083106e8c95?sa=X&ved=1t:57443&ictx=111",http://www.pediatricdentalassociatesal.com/,"""The hygienist and  do a great job making the  feel comfortable.""",google (14).csv
Liberty Park Children's Dentistry,Pediatric dentist,5.0,399,(205) 403-5423,·,"https://www.google.com/maps/dir//Liberty+Park+Children's+Dentistry,+1950+Stonegate+Dr+%23100,+Vestavia+Hills,+AL+35242/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x8889172a9e282183:0x2062b1f4c98c64ea?sa=X&ved=1t:57443&ictx=111",http://libertyparkchildrensdentistry.com/,"""Pulled my  teeth out with ease and made them feel at home.""",google (14).csv
Dr. Clark Thomas Pediatric Dentistry,Pediatric dentist,4.9,702,(205) 879-6150,·,"https://www.google.com/maps/dir//Dr.+Clark+Thomas+Pediatric+Dentistry,+721+Montclair+Rd,+Birmingham,+AL+35213/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x88891a1546c8bd93:0x94f99dbf3b931bce?sa=X&ved=1t:57443&ictx=111",https://www.thomaspediatricdentistry.com/,"""Very friendly and knowledgeable staff, and my  love them.""",google (14).csv
Powell Pediatric Dentistry,Pediatric dentist,5.0,193,(205) 538-3335,·,"https://www.google.com/maps/dir//Powell+Pediatric+Dentistry,+1628+29th+Ct+S+%23200,+Homewood,+AL+35209/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x88891965b0f6c951:0xc150666a624fc219?sa=X&ved=1t:57443&ictx=111",http://www.powellpediatricdentist.com/,"""The staff kept in constant contact with me for my daughters oral surgery.""",google (14).csv
Alabama Pediatric Dentistry,Pediatric dentist,4.5,22,(205) 802-7277,·,"https://www.google.com/maps/dir//Alabama+Pediatric+Dentistry,+3500+Independence+Dr+%23100,+Homewood,+AL+35209/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x8889197c647751b1:0xf7ddb4fb1d8c8d7a?sa=X&ved=1t:57443&ictx=111",http://www.alabamapediatricdentistry.com/,"""Great staff and knowledgeable !""",google (14).csv
Homewood Pediatric Dentistry,Pediatric dentist,5.0,19,(205) 332-3886,·,"https://www.google.com/maps/dir//Homewood+Pediatric+Dentistry,+2828+Central+Ave,+Homewood,+AL+35209/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x88891973591ac60d:0xcff76a136877f20e?sa=X&ved=1t:57443&ictx=111",https://www.homewoodpediatricdentistry.com/,"""The office is always SO clean & amazing for children of all ages!""",google (14).csv
"Michael A. Keller, DDS, PC",Pediatric dentist,5.0,207,(205) 870-7110,·,"https://www.google.com/maps/dir//Michael+A.+Keller,+DDS,+PC,+2045+Brookwood+Medical+Center+Dr+%237,+Birmingham,+AL+35209/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x88891997f0b90cb9:0xa56298fbe028647a?sa=X&ved=1t:57443&ictx=111",http://mkellerdds.com/,"""They took the time to make my  feel comfortable and at ease.""",google (14).csv
Children's of Alabama - Dentistry (Dental),Pediatric dentist,3.0,7,(205) 638-9161,·,"https://www.google.com/maps/dir//Children's+of+Alabama+-+Dentistry+(Dental),+McWane+Building+Clinic,+1600+7th+Ave+S+%239,+Birmingham,+AL+35233/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x88891b8f6233cbdd:0x9d2d674fdc0a43bf?sa=X&ved=1t:57443&ictx=111",https://www.childrensal.org/dental-clinic,"""she was informative and nice (to me) - just nooooot with my kid.""",google (14).csv
Summit Smiles Pediatric Dentistry,Pediatric dentist,5.0,143,(205) 490-6850,·,"https://www.google.com/maps/dir//Summit+Smiles+Pediatric+Dentistry,+4213+Dolly+Ridge+Rd,+Vestavia+Hills,+AL+35243/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x888917638b1a2869:0x9b6a1203ed16842c?sa=X&ved=1t:57443&ictx=111",http://www.summitsmiles.com/,"""They were amazing with my 5 year old and very informative!""",google (14).csv
Lovell Pediatric Dentistry,Pediatric dentist,5.0,346,(205) 957-6611,·,"https://www.google.com/maps/dir//Lovell+Pediatric+Dentistry,+1900+28th+Ave+S+STE+109,+Homewood,+AL+35209/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x8889197c7d114d15:0x97fa8f8dc57f36e9?sa=X&ved=1t:57443&ictx=111",http://www.lovellpediatricdentistry.com/,"""They made our daughter’s first  appointment easy, fun and memorable!""",google (14).csv
Angelica Rohner Pediatric Dentistry,Pediatric dentist,4.9,141,(205) 870-0892,·,"https://www.google.com/maps/dir//Angelica+Rohner+Pediatric+Dentistry,+2045+Brookwood+Medical+Center+Dr+Suite+21,+Homewood,+AL+35209/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x8889199813abbc83:0xe1e1bc78a527c513?sa=X&ved=1t:57443&ictx=111",https://www.drrohner.com/,"""Dr. Rhoner was great and answered any questions I had bout my sons teeth.""",google (14).csv
Rousso Pediatric Dentistry,Pediatric dentist,5.0,49,(205) 203-0584,·,"https://www.google.com/maps/dir//Rousso+Pediatric+Dentistry,+2716+Mamie+L.+Foster,+18th+Pl+S+Suite+100,+Homewood,+AL+35209/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x23234d7a9d59beb3:0xc4bd065e194f9406?sa=X&ved=1t:57443&ictx=111",https://www.roussopediatricdentistry.com/,"""Dr. Rousso is very thorough and great with !""",google (14).csv
Steinmetz Pediatric Dentistry,Pediatric dentist,5.0,120,(205) 822-4284,·,"https://www.google.com/maps/dir//Steinmetz+Pediatric+Dentistry,+521+Montgomery+Hwy+%23125,+Vestavia+Hills,+AL+35216/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x88891905b636b529:0x874b9a63ac91a9ff?sa=X&ved=1t:57443&ictx=111",http://www.steinmetzpediatricdentistry.org/,"""They treat my daughter with such care!""",google (14).csv
Just Kids Dental,Pediatric dentist,4.2,65,(205) 251-1010,·,"https://www.google.com/maps/dir//Just+Kids+Dental,+2320+7th+Ave+S+b,+Birmingham,+AL+35233/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x88891bc77b2857ed:0x3fb55375dbc0f3bb?sa=X&ved=1t:57443&ictx=111",http://www.justkidsal.com/,,google (14).csv
"Dr. Michelle Bajjalieh, DMD",Pediatric dentist,4.2,5,(205) 802-7277,·,"https://www.google.com/maps/dir//Dr.+Michelle+Bajjalieh,+DMD,+3500+Independence+Dr,+Homewood,+AL+35209/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x8889197c647751b1:0xc79a28d79cfd93ce?sa=X&ved=1t:57443&ictx=111",http://www.alabamapediatricdentistry.com/,,google (14).csv
Woodlawn Dental,Pediatric dentist,4.5,212,(205) 591-1101,·,"https://www.google.com/maps/dir//Woodlawn+Dental,+100+57th+St+S,+Birmingham,+AL+35212/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x88891a8523456d03:0x52a754fbbc645bfc?sa=X&ved=1t:57443&ictx=111",http://woodlawndentistry.com/,"""She listened to my fears and was very understanding.""",google (14).csv
"Dr. Janice G. Jackson, DMD",Pediatric dentist,3.0,2,(205) 939-5174,,,"https://www.google.com/maps/dir//Dr.+Janice+G.+Jackson,+DMD,+1600+7th+Ave+S,+Birmingham,+AL+35233/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x88891be961b81a47:0xac29de69a263330e?sa=X&ved=1t:57443&ictx=111",,google (15).csv
Cahaba Medical Care - Dental Center (Birmingham),Pediatric dentist,4.6,141,(205) 545-7696,·,https://www.cahabamedicalcare.com/,"https://www.google.com/maps/dir//Cahaba+Medical+Care+-+Dental+Center+(Birmingham),+623+8th+Ave+W,+Birmingham,+AL+35204/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x88891d8111d1dd21:0x5333c0f4c689992a?sa=X&ved=1t:57443&ictx=111","""The Doctor and staff are very caring and patient.""",google (15).csv
Childrens Dental Center,Pediatric dentist,,,(205) 939-4912,·,,"https://www.google.com/maps/dir//Childrens+Dental+Center,+1801+14th+Ave+S,+Birmingham,+AL+35205/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x88891bdb6bb67f6f:0x9604aaad5aa892a1?sa=X&ved=1t:57443&ictx=111",,google (15).csv
Family Care Dental,Pediatric dentist,4.6,401,(205) 379-7020,·,https://familycaredentalbirmingham.com/contact/,"https://www.google.com/maps/dir//Family+Care+Dental,+2757+Green+Springs+Hwy,+Birmingham,+AL+35209/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x88891fcd249a9c59:0x476e610db9e63da1?sa=X&ved=1t:57443&ictx=111","""Excellent service, doctors, the assistants and girls at front desk.""",google (15).csv
Vital Smiles Dental & Orthodontics,Pediatric dentist,4.7,960,(205) 923-3172,·,https://www.vitalsmiles.com/,"https://www.google.com/maps/dir//Vital+Smiles+Dental+%26+Orthodontics,+111+By+Williams+Sr+Dr,+Midfield,+AL+35228/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x8888e1dc936fa5b5:0x92ccf0ccb518dc57?sa=X&ved=1t:57443&ictx=111","""It was my sons first time at the  and she was so gentle with him !""",google (15).csv
Dr. Austin Powell,Pediatric dentist,,,(205) 538-3335,,https://powellpediatricdentist.com/,"https://www.google.com/maps/dir//Dr.+Austin+Powell,+1628+29th+Ct+S+%23200,+Homewood,+AL+35209/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x88891965b10da869:0xa3f37545c80c7adf?sa=X&ved=1t:57443&ictx=111",,google (15).csv
Jerome C Scales Pa,Pediatric dentist,4.0,1,(205) 781-9399,·,"https://www.google.com/maps/dir//Jerome+C+Scales+Pa,+623+8th+Ave+W,+Birmingham,+AL+35204/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x88891c40b49ed681:0xc6d0fbce6ce2d2c2?sa=X&ved=1t:57443&ictx=111",,,google (16).csv
Iron City Dentistry,Pediatric dentist,4.8,68,(205) 798-1780,·,"https://www.google.com/maps/dir//Iron+City+Dentistry,+220+Walker+Rd,+Birmingham,+AL+35214/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x88891dc6a4a90ef1:0x997fb79d83b9e957?sa=X&ved=1t:57443&ictx=111",http://ironcitydentistry.com/,"""Professional, knowledgeable and friendly staff.""",google (16).csv
Shades Creek Dental,Pediatric dentist,5.0,564,(205) 813-1733,·,"https://www.google.com/maps/dir//Shades+Creek+Dental,+1045+Broadway+Park,+Suite+101,+Homewood,+AL+35209/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x88891930fab02d8f:0xd51048056ea8b63e?sa=X&ved=1t:57443&ictx=111",https://shadescreekdental.com/?utm_source=google&utm_medium=gmb&utm_campaign=local&utm_content=website-url,"""They are kind, they are gentle and competent and take total care of you.""",google (16).csv
"Dr. Stephen C. Mitchell, DMD",Pediatric dentist,,,(205) 934-1136,,"https://www.google.com/maps/dir//Dr.+Stephen+C.+Mitchell,+DMD,+1919+7th+Ave+S,+Birmingham,+AL+35233/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x88891bc1c1621411:0x4a53225e3a64660f?sa=X&ved=1t:57443&ictx=111",,,google (16).csv
Oak Mountain Pediatric Dentistry,Pediatric dentist,5.0,1.1K,(205) 980-1338,·,"https://www.google.com/maps/dir//Oak+Mountain+Pediatric+Dentistry,+6930+Cahaba+Valley+Rd+%23200,+Birmingham,+AL+35242/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x8889166cd5e85745:0xcbd2cf7d4b27ef82?sa=X&ved=1t:57443&ictx=111",http://www.ompediatricdentistry.com/,"""Efficiently, caring  practice in a kid-friendly environment.""",google (17).csv
Anglin Pediatric & Family Dentistry,Pediatric dentist,5.0,1.6K,(205) 203-9394,·,"https://www.google.com/maps/dir//Anglin+Pediatric+%26+Family+Dentistry,+3825+Lorna+Rd+%23206,+Hoover,+AL+35244/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x8889223c34944cef:0xcc62701f0e6a6f98?sa=X&ved=1t:57443&ictx=111",https://www.anglinpediatricandfamilydentistry.com/?utm_campaign=gmb,"""Made my son feel relaxed, gave great tips and tricks for  care.""",google (17).csv
Cahaba Valley Pediatric Dentistry,Pediatric dentist,4.9,365,(205) 408-8889,·,"https://www.google.com/maps/dir//Cahaba+Valley+Pediatric+Dentistry,+141+Narrows+Dr,+Birmingham,+AL+35242/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x88893dde13804599:0xa3cb85c8b0a89b59?sa=X&ved=1t:57443&ictx=111",https://cvpd.com/,"""Everyone was kind and knowledgeable to what being done for my little ones.""",google (17).csv
Hurst Pediatric Dentistry,Pediatric dentist,4.9,95,(205) 969-7454,·,"https://www.google.com/maps/dir//Hurst+Pediatric+Dentistry,+19+Inverness+Center+Pkwy+%23250,+Birmingham,+AL+35242/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x88891786ef5fc899:0x6e23634ef9950d41?sa=X&ved=1t:57443&ictx=111",https://hurstpediatricdental.com/,"""Dr. Hurst has been a lifesaver for my son.""",google (17).csv
Pediatric Dental Associates - Hoover,Pediatric dentist,4.9,105,(205) 795-3440,·,"https://www.google.com/maps/dir//Pediatric+Dental+Associates+-+Hoover,+5564+Grove+Blvd+Suite+B,+Hoover,+AL+35226/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x888921320c06a289:0x20be3b251f324e77?sa=X&ved=1t:57443&ictx=111",https://pediatricdentalassociatesal.com/,"""My daughter had to get her first filling and did fantastic.""",google (17).csv
Red Mountain Pediatric Dentistry,Dentist,5.0,323,(205) 434-2781,·,"https://www.google.com/maps/dir//Red+Mountain+Pediatric+Dentistry,+2836+Lakeshore+Pkwy,+Birmingham,+AL+35211/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x8888e11d2fb9180d:0xc1a077e896af43e4?sa=X&ved=1t:57443&ictx=111",http://www.redmountainsmiles.com/,"""Dr. Dean and her staff are so patient and kind with my kid!""",google (17).csv
Vestavia Hills Pediatric Dentistry,Pediatric dentist,4.7,23,(205) 983-8980,·,"https://www.google.com/maps/dir//Vestavia+Hills+Pediatric+Dentistry,+2401+Dolly+Ridge+Rd,+Vestavia+Hills,+AL+35243/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x8889185ccda9a3b5:0xed98e4981636ba98?sa=X&ved=1t:57443&ictx=111",https://www.tengallongrin.com/,"""Dr Purvis is so amazing and comforting to children and the nervous parents.""",google (17).csv
Gooch Family Dental,Pediatric dentist,4.9,1.4K,(659) 200-7181,·,"https://www.google.com/maps/dir//Gooch+Family+Dental,+6807+Tattersall+Way,+Birmingham,+AL+35242/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x888916094173a05d:0xcef95e02bea4b797?sa=X&ved=1t:57443&ictx=111",https://www.goochdental.com/locations/birmingham-office/,"""Dr. Wood and Katie were incredibly kind, gentle, and patient.""",google (17).csv
Dr. Flynt Purvis,Pediatric dentist,4.4,7,(205) 983-8980,·,"https://www.google.com/maps/dir//Dr.+Flynt+Purvis,+2401+Dolly+Ridge+Rd,+Vestavia+Hills,+AL+35243/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x8889185ccdc7e92f:0x43da39852adc0227?sa=X&ved=1t:57443&ictx=111",https://www.tengallongrin.com/ourpractice.aspx,"""Dr. Purvis and his team have been amazing for my daughter.""",google (17).csv
Hall Cosmetic & Family Dentistry,Pediatric dentist,5.0,956,(205) 991-7840,·,"https://www.google.com/maps/dir//Hall+Cosmetic+%26+Family+Dentistry,+6930+Cahaba+Valley+Rd,+Birmingham,+AL+35242/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x8889166cd5e8e5d3:0x4139b8c5f3bdc8d7?sa=X&ved=1t:57443&ictx=111",https://www.birminghamdmd.com/?utm_source=google&utm_medium=gbp&utm_campaign=google_business,"""His concern for the health of our  teeth shows how much he cares.""",google (18).csv
Anglin Pediatric & Family Dentistry: Erin D. Nelson DDS,Dentist,5.0,135,(205) 988-9800,·,"https://www.google.com/maps/dir//Anglin+Pediatric+%26+Family+Dentistry:+Erin+D.+Nelson+DDS,+3825+Lorna+Rd+%23206,+Hoover,+AL+35244/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x8889233dbd2276d5:0xe7c9736c63cc00d5?sa=X&ved=1t:57443&ictx=111",https://www.anglinpediatricandfamilydentistry.com/,"""Very professional, friendly, and caring doctor and staff!""",google (18).csv
Hoover Pediatric Dentistry: Downs Nolan D DDS,Pediatric dentist,5.0,9,(205) 823-7387,·,"https://www.google.com/maps/dir//Hoover+Pediatric+Dentistry:+Downs+Nolan+D+DDS,+Diamond+Head+Bldg,+1957+Hoover+Ct+%23+210,+Hoover,+AL+35226/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x888918a72a136bbd:0x9e44a98e42882f05?sa=X&ved=1t:57443&ictx=111",http://hoovermetropediatricdentistry.com/,,google (18).csv
Dr. Jeffrey Flannery,Pediatric dentist,,,(205) 980-1338,·,"https://www.google.com/maps/dir//Dr.+Jeffrey+Flannery,+6930+Cahaba+Valley+Rd+%23200,+Birmingham,+AL+35242/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x8889166cd60f1c23:0xaff672697af66600?sa=X&ved=1t:57443&ictx=111",http://www.ompediatricdentistry.com/,,google (18).csv
Birmingham Smiles Dentistry,Pediatric dentist,4.9,73,(205) 979-8655,·,"https://www.google.com/maps/dir//Birmingham+Smiles+Dentistry,+2120+Lynngate+Dr,+Birmingham,+AL+35216/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x88892277cbdf6591:0xbcfe366b768b0b68?sa=X&ved=1t:57443&ictx=111",https://bhmsmiles.com/,"""Dr Mann and staff were very nice and friendly!""",google (18).csv
Dr. Jonathan Curtis,Pediatric dentist,,,(205) 408-8889,·,"https://www.google.com/maps/dir//Dr.+Jonathan+Curtis,+141+Narrows+Dr,+Birmingham,+AL+35242/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x88893dde122c35d5:0xe807c4755d086b0c?sa=X&ved=1t:57443&ictx=111",https://cvpd.com/,,google (18).csv
Southern Dental Birmingham,Pediatric dentist,5.0,859,(205) 991-2433,·,"https://www.google.com/maps/dir//Southern+Dental+Birmingham,+4960+Valleydale+Rd+Suite+100+Suite+100,+Birmingham,+AL+35242/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x8889163137c365e9:0xa1c7488060b662ab?sa=X&ved=1t:57443&ictx=111",https://www.southerndentalbirmingham.com/,"""The  is amazing and hilarious, and they only do what’s necessary.""",google (18).csv
AC Dentistry,Pediatric dentist,5.0,104,(205) 533-6799,·,"https://www.google.com/maps/dir//AC+Dentistry,+7350+Cahaba+Valley+Rd,+Birmingham,+AL+35242/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x8889176c265728f1:0x2da92d94a931017c?sa=X&ved=1t:57443&ictx=111",https://acdentistry.org/,"""The staff is SO kind and Dr. Cotant was so personable.""",google (18).csv
"Cahaba Valley Pediatric Dentistry, P.C.",Pediatric dentist,,,,"12.3 mi · Chelsea, AL","https://www.google.com/maps/dir//Cahaba+Valley+Pediatric+Dentistry,+P.C.,+Chelsea,+AL+35043/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x88893efa7acdf7ab:0xb2b5472fa06b9a88?sa=X&ved=1t:57443&ictx=111",,,google (19).csv
David Shephard D.M.D,Pediatric dentist,4.9,292,(205) 987-4055,·,"https://www.google.com/maps/dir//David+Shephard+D.M.D,+2006+Old+Montgomery+Hwy+%231658,+Birmingham,+AL+35244/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x888923ca76d25d2b:0xad32d3000e0439d5?sa=X&ved=1t:57443&ictx=111",https://www.davidshepherddmd.com/,"""Dr. Shepherd and his staff are both skilled and friendly.""",google (19).csv
Bluff Park Dental,Pediatric dentist,5.0,214,(659) 246-5625,·,"https://www.google.com/maps/dir//Bluff+Park+Dental,+2161+Clearbrook+Rd,+Hoover,+AL+35226/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x88891f6a26b150bd:0x8d9730b4a0f8b120?sa=X&ved=1t:57443&ictx=111",https://www.bluffparkdental.com/,"""They have updated their office and equipment which is really great.""",google (19).csv
Moulton Dentistry of Hoover,Pediatric dentist,5.0,322,(205) 988-3360,·,"https://www.google.com/maps/dir//Moulton+Dentistry+of+Hoover,+3821+Lorna+Rd+Suite+106,+Birmingham,+AL+35244/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x8889223dd14f7c6b:0xcf7aa47fe5eefdea?sa=X&ved=1t:57443&ictx=111",https://www.moultondentistry.com/,"""He cares for his parents and provides the best  service.""",google (20).csv
Spectra Dental Specialists,Pediatric dentist,5.0,462,(205) 822-3222,·,"https://www.google.com/maps/dir//Spectra+Dental+Specialists,+4501+Southlake+Pkwy+201+%23+201,+Hoover,+AL+35244/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x888918b9b0e61afb:0x16bd95f834dae74d?sa=X&ved=1t:57443&ictx=111",http://spectradental.com/,"""Dr. Litz and his team took excellent care of my daughter.""",google (20).csv
Shelby Pediatric Dentistry,Pediatric dentist,4.9,1.6K,(205) 419-7444,·,https://www.google.com/aclk?sa=L&ai=DChsSEwjv_I3drIiQAxWwONQBHViDN6MYACICCAEQCRoCb2E&co=1&ase=2&gclid=CjwKCAjw6P3GBhBVEiwAJPjmLmTJDuvq6nTpgVejyxmPyzYti0vWI-SQQRg2NUl2ECU7YliXcjLggxoCF0gQAvD_BwE&cid=CAASN-Ro5HLUi8ug_QRgMZtKFTFap2P_wAj4ANg_UehlCfk1S-9gj27IrwJa9fDpEESkJbnGjG1JdXI&cce=2&category=acrcp_v1_32&sig=AOD64_1mJFOgQ9ggxZykQWksEMQWMSjjNA&ctype=50&q=&ved=2ahUKEwji44jdrIiQAxWy4MkDHTZMGMIQhawBegQIFBAR&adurl=,https://www.google.com/aclk?sa=L&ai=DChsSEwjv_I3drIiQAxWwONQBHViDN6MYACICCAEQCBoCb2E&co=1&ase=2&gclid=CjwKCAjw6P3GBhBVEiwAJPjmLsRDki2Y5r_h3GW3qAkJHSHH9bA1uA7IjjTM0pVwAOpB1Sq-r83gmhoC0WIQAvD_BwE&cid=CAASN-Ro5HLUi8ug_QRgMZtKFTFap2P_wAj4ANg_UehlCfk1S-9gj27IrwJa9fDpEESkJbnGjG1JdXI&cce=2&category=acrcp_v1_32&sig=AOD64_16rwOoO6qlQ7Idt0Rj5hObZcWu_A&q=&nis=4&ctype=99&ved=2ahUKEwji44jdrIiQAxWy4MkDHTZMGMIQhKwBegQIFBAQ&adurl=,,google (21).csv
Dr. Richard Baxter,Pediatric dentist,5.0,103,(205) 419-7444,·,"https://www.google.com/maps/dir//Dr.+Richard+Baxter,+2490+Pelham+Pkwy,+Pelham,+AL+35124/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x8889239147efffff:0x95ae04cc6e693389?sa=X&ved=1t:57443&ictx=111",https://shelbypediatricdentistry.com/,"""No wait time, thorough consult, quick procedure for both .""",google (21).csv
Alabaster Smiles Pediatric Dentistry,Pediatric dentist,4.8,130,(205) 664-2130,·,"https://www.google.com/maps/dir//Alabaster+Smiles+Pediatric+Dentistry,+219+1st+St+N,+Alabaster,+AL+35007/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x888925dc0b6dd677:0x9db015b2b9ca3eee?sa=X&ved=1t:57443&ictx=111",https://www.alabastersmiles.com/?utm_source=gbp&utm_medium=organic&utm_campaign=gbp-listing&utm_content=PAL_Alabaster_1st_Street_North,"""They are very patient with my autistic son.""",google (21).csv
Richard Turner Baxter,Pediatric dentist,,,(205) 419-7444,·,"https://www.google.com/maps/dir//Richard+Turner+Baxter,+2490+Pelham+Pkwy,+Pelham,+AL+35124/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x8889239147efffff:0xf8782f89a76c4261?sa=X&ved=1t:57443&ictx=111",,,google (21).csv
"Michael J. Boohaker, DMD | Boohaker Family & Cosmetic Dentistry",Pediatric dentist,5.0,168,(205) 621-4007,·,"https://www.google.com/maps/dir//Michael+J.+Boohaker,+DMD+%7C+Boohaker+Family+%26+Cosmetic+Dentistry,+117+Buck+Creek+Plaza,+Alabaster,+AL+35007/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x888928aa16a9a141:0xa1edae684c079060?sa=X&ved=1t:57443&ictx=111",https://boohakerdental.com/,"""They did a great job on my daughter's teeth.""",google (21).csv
Dr. Lauri Williams,Pediatric dentist,1.0,1,(205) 664-2130,·,"https://www.google.com/maps/dir//Dr.+Lauri+Williams,+219+1st+St+N,+Alabaster,+AL+350078767/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x888925dc0a26aaab:0xdec41f3b30d9aab6?sa=X&ved=1t:57443&ictx=111",https://alabastersmiles.com/our-team/?utm_source=gbp&utm_medium=organic&utm_campaign=gbp-listing&utm_content=PAL_Alabaster_Lauri_Williams,,google (21).csv
